;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;primary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary
;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;offer_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices;transactional_prices
yearquarter;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw;Zielona_Gora;7miast;10miast;6miast_bez_Warszawy;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw;Zielona_Gora;7miast;10miast;6miast_bez_Warszawy;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw;Zielona_Gora;7miast;10miast;6miast_bez_Warszawy;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw;Zielona_Gora;7miast;10miast;6miast_bez_Warszawy
1.07.2006;2727;3243;5004;4937;3986,27;2918,644443;6021;3456;3210;4000;3342,843092;4769,933415;2862;3214,980636;5873;4750;2754,275993;5427;3006,89024;4978;3008;2663;3494;4467;3522,59;2834,839339;6816;3022;2860;2640;3299,151723;3620,845241;2656;3233,916487;5605;3211;2499,00893;3590,503415;2663,155087;4231;3070;2530;4541;5756;2507,52;2424,920724;7114;3160;2740;3414,43;3164,077933;3751,811582;2851;3189,802832;7179;5260,765306;2136,754149;5706,669166;2859,637817;4889,511659;2529;2424;3926;2782;2027,9;2354,885985;5193;2769;1905;3125,56797;2776,763107;3332,054889;2591;2887,596747;6232;4734,454545;1959,940408;4648,684507;2595,410571;3712,965925
1.10.2006;2727;3947;6199;5284;4062,31;3492,617589;7929;3314;4237;4800;;4827,2275;3401;3679,123336;6095;5759;2869,297734;6143;3281,497017;6174;3117;2811;5252;5284;3734,72;3014,090525;7089;3304;3642;2869;3342,843092;4725,658134;3013;3575,024357;6186;3777;2768,751404;5368,79462;3219,546861;4923,359666;3408;2784;5406;6496;2649,12;3127,42017;7383;3562;3316;3925;3584,53925;4461,663155;3734;3856,592591;8751;5856,744292;2384,110425;6610,762259;3356,48924;5424,809014;2998;2359;4072;4561;2160,05;2672,772174;6349;2884;2160;3665,461853;2885,417364;3903,300937;2935;3132,581232;7143;4931,839286;2381,246885;5380,120156;2905,161165;4411,779914
1.01.2007;4181;4501;6437;6466;4518,37;3381,718956;8247;3604;4927;5149;;7274,746093;3420;4749,124321;7509;6308,702547;2871,939482;6941;3885,816847;6643;3500;3017;5490;5797;3805,67;3241,415228;7192;3309;4209;2960;;6444,721994;3469;3831,400406;7302;7062,85905;2499,814669;6499,214997;3275,503686;6121,367643;3986;3607;6115;7211;3703,64;3903,904872;8369;3986;4130;5049,13;3349,433759;6104,056482;4187;4734,745893;9316;6746,537634;2993,461129;7462,51159;4000,143487;6428,230196;3590;2836;4787;4966;2542,27;3021,517037;6267;3373;3360;4081,97386;3294,768586;4522,564592;3916;3754,532887;7730;5732,059633;2264,236625;5937,110734;3282,703473;4937,654512
1.04.2007;4725;5700;7999;8934;5180,56;3901,57831;8129;4143;5453;4776;;7360,018661;4080;5049,969372;8000;6294;4153,489905;8097;4611,643445;7352;4422;4092;7137;6992;5093,57;3017,729302;7856;3503;5403;3318;3307,345458;7242,73;3517;4932,747279;7523;5289;3258,090803;6784,602588;3922,505883;6610,170027;4418;3932;6602;6747;4152,12;4120,776601;8272;4699;4609;5352,28;4149,525104;6698,106843;4647;4958,812705;9740;7038,089701;3199,250378;7762,697785;4418,205388;6656,657062;4009;3424;5806;5817;3013,02;3660,76916;7309;3870;3749;4687,416028;3771,099332;5537,787462;3918;4083,303123;8696;6217,137037;3125,78632;6828,455664;3794,29083;5777,572063
1.07.2007;4199;4994;8053;8114;6235,53;4651,056569;8420;4645;5201;4900;4784,143691;6837,76137;4069;5034,720763;8740;6444,287532;4207,569891;8212;4894,223573;7921;4651;4466;7440;7238;5697,62;4765,978233;8060;4125;5212;3588;4253,276317;5425,817049;4124;5121,045287;7879;5835,806577;4015,413864;7064,988495;4646,590467;6604,815975;4580;4150;6740;7188;4150,53;4230,502;8255;4815;4721;5394,15;4135,527712;6386,660477;4814;5093,844964;10078;7193,97654;3565,479913;7877,982502;4531,704889;6666,281104;4635;3913;6059;6483;3870;3669,711186;7193;4265;3981;4715,707696;3957,761948;5804,549114;4073;4321,12096;9137;6861,634921;3483,102602;6921,338351;4121,105012;5761,664846
1.10.2007;4995;4829;7402;7887;6457,54;4475,155576;8355;5047;5062;4900;4937,434137;7563,710226;4357;5731,136188;9561;5495,13631;3965,476807;8181;5164,963435;7411;5079;4582;6294;7495;5717,63;4629,101108;7985;4597;5076;3806;4441,739988;6865,071818;4365;4697,024137;8571;5625;3822,867291;8063,814882;4819,140246;6754,251411;4637;3956;6824;6917;4473,12;4299,542177;8140;4962;4686;5169,65;4362,620018;6471,7834;4849;5297,289468;9952;7265,657321;3441,150246;7852,981503;4632,456834;6705,27854;4637;3758;6267;6069;3611,95;3876,180807;6715;4713;4039;4938,167622;3967,267321;5947,934328;4424;4647,450551;9034;5965,092827;3269,632087;6965,49982;4246,854096;5877,729001
1.01.2008;5128;4893;7210;7737;6257,59;4528,613808;8084;5011;5048;4800;4919,777757;7479,829109;4188;5722,909844;9427;5728,236508;3965,331613;8108;4868,383175;7373;5160;4540;6473;7301;5791,06;4407,707105;8000;4861;5103;4389;4252,540184;7597,508333;4163;5361,706544;8535;5268;4108;7538,907779;4782,557174;6936,689078;4738;3685;6795;6984;4739,42;4528,463879;7979;5141;4737;5199,61;4235,144814;6235,312289;4901;5124,4861;9850;7138,062189;3416,905312;7867,760312;4641,06672;6763,172975;4168;3801;6074;6321;3685,13;4078,458104;6777;4718;4160;4854,351903;3711,778773;6356,713021;4169;4438,17496;8921;5757,731278;3491,893251;6893,974051;4200,256827;5769,157623
1.04.2008;5651;5035;8509;7897;6599;5281,053898;8034;5174;4962;4800;4930,91749;7338,029848;4215;5663,598867;9300;6299,30554;3985,643588;8096;4986,620489;7423;4973;4982;7740;7209;5113,46;4879,704696;8027;4531;5041;4324;3916,841072;7070,440877;4177;5448,251816;8611;5349;3842,15764;6724,934962;4831,55394;6665,72709;4853;4202;6704;6854;4638,18;4478,014038;7934;5071;4668;5014,25;4068,432194;6096,793132;4824;5179,889853;9783;7158,820809;3489,976527;7755,164797;4691,934688;6625,407329;4404;3984;6087;6119;3967,51;4126,734937;6629;4890;3961;4725,507128;3729,407092;5857,657329;4187;4698,732102;8546;5890,829694;3354,485952;6738,278986;4316,456636;5740,105129
1.07.2008;5115;4959;8454;7169;6303,43;5395,875405;8012;5170;5480;4924;4943,045505;7320,217572;4433;5520,665844;9235;5704,481422;4012,366509;7818;5025,780911;7029;5141;4670;7042;6694;5153,52;4917,532282;7814;5073;5214;4524;3916,197632;6854,370645;3947;5454,726938;8325;5891;3892,244376;7382,950492;4903,01707;6879,360718;4777;4151;6608;6960;4554,93;4573,546784;7180;5111;4544;4964,12;4186,672511;5979,679579;4790;5174,222451;9679;6921,936255;3505,571238;7537,500237;4678,403524;6344,394503;4604;3957;5952;5816;3622,18;4122,164393;6294;4885;3780;4560,150496;3797,01922;6142,952076;4366;4793,681207;8528;6104,730769;3179,633444;6649,0416;4300,40644;5592,57589
1.10.2008;4725;4989;6609;6342;6676,96;5208,196857;7751;5266;5329;4761;4967,615537;7277,032245;4069;5469,042524;9821;5027,138512;3891,690289;7845;5331,817354;6742;5177;4749;6193;6384;5772,17;4608,749919;7518;5217;5542;4353;3765,311352;6767,977342;4401;5663,186169;8149;5513;3770,753075;7022,923124;5006,679368;6396,354173;4744;4240;6793;7059;4360,31;4356,192923;7251;5091;4873;4946,72;4142,936132;5953,704378;4640;5079,09256;10196;6859,448343;3487,5364;7755,064189;4618,066608;6400,347801;4601;3917;6048;6208;3952,2;3996,206491;6530;4859;4020;4570,158901;3700,446925;5430,198859;4217;4650,67183;9046;5867,290837;3143,165108;6890,174996;4249,975569;5688,901731
1.01.2009;5510;4940;6800;6290;6482,04;5110,59355;7675;5177;5308;4650;4993,303921;7200,436767;3966;5310,291624;9880;5014;3574,886631;7910;5148,914022;6802;5005;5023;5309;6241;4994,94;4821,624011;7373;4746;4746;4419;3776,489059;6364,834917;3965;5174,409122;7543;5218;3646,170596;6625,558322;4811,874651;6114,438631;4613;4095;6648;7104;4340,42;4467,064674;6864;5062;4730;4730,22;4234,587221;5978,517958;4683;4965,155014;9626;6784,571429;3430,315636;7443,037036;4539,924866;6225,980655;4432;3876;6166;6063;3776,62;3970,223935;6110;4805;3874;4454,672844;3772,265071;5226,13;4071;4615,544707;8406;5752,780822;3114,181246;6567,490111;4187,622884;5543,01593
1.04.2009;4738;4897;6875;6084;6614,53;5098,609913;7622;5079;4960;4600;5015,07998;7232,718582;3787;5323,809748;9859;5093;3538,331694;7732;5020,923201;6558;4976;4835;5907;5891;5410,83;4715,51525;7169;4693;5101;4485;3471,459193;6283,931773;3849;4958,178652;7461;5095;3366,423625;6521,7532;4705,338415;6002,14659;4614;4017;6644;6949;4288,48;4286,908885;6678;5017;4431;4710,13;4282,797984;6216,013937;4684;4860,199549;10133;6748,864807;3364,635028;7562,906813;4504,089168;6131,921804;4301;3541;5651;5554;3563,41;3982,205695;6065;4650;3870;4424,453374;3814,498044;5613,335336;4058;4426,188044;8406;5615,339207;2972,306218;6448,398787;4060,492597;5346,431583
1.07.2009;4925;4920;6096;6294;5990;5121,857739;7631;5329;5255;4496;5082,903567;7029,869491;3742;5181,476071;9992,960622;5362;3571;7730;5027,12148;6462;4787;4757;5804;5504;4524;4678,348467;6866;4437;4755;4297;3669,26368;6145,965107;3969;5406,036513;7585,235697;5105;3500;6502,058077;4579,493152;5900,601607;4641;4244;6449;6901;4370;4498,766301;6564;5010;4643;4733,41;4082,643533;5970,058895;4641;4964,269587;9705,240248;6841,823389;3347;7389,767306;4564,329479;6099,403892;4201;3885;5570;5582;3541;3910,768671;5975;4589;3677;4477,588864;3581,671668;5220,597933;3896;4329,810062;7948,936758;5927,17623;2941;6211,564813;4105,338187;5245,290242
1.10.2009;4830;4939;6179;6134;5909;4978,293153;7521;5287;5250;4913;5223,491735;6725,227116;4021;4987,346628;9915,277206;5640;3530;7696;4892,269852;6464;4838;4694;5476;5774;4866;4778,483236;6981;4830;5275;4494;3492,074298;6129,590896;3843;5056,837153;7679,589222;5472;3459;6629,205348;4585,550162;6048,317694;4620;4203;6350;6991;4181;4433,913008;6734;4977;4400;4719,66;4154,499872;5924,453085;4681;4834,065228;9671,304386;6757,758152;3331;7360,961914;4507,081896;6072,138058;4086;3964;5653;5797;3303;4166,577414;6155;4926;3636;4540,642603;3649,138253;5181,047527;4096;4320,381304;8496,857367;5753,367893;3085;6420,80989;4114,071113;5272,479435
1.01.2010;4791;5080;6077,708581;6128;6467;4958,341277;7595;5113;5290;5290;5275,839975;6685,470922;4159;5205,82819;9118,68994;6020;3554;7468;5148,732786;6552;4790;4524;5839,453403;5495,145018;5303;4797,970649;6985;4495;5020;4877;3626,901751;6436,406105;3837;4916,485959;8173,215446;5628;3511;6842,00294;4635,334021;6102,735039;4729;4202;6465;7032;4136;4604,925384;6916;5028;4558;4763;4166,152727;6073,872058;4611;4867,641244;9901,014979;6725;3402;7516,435903;4560,071382;6196,900269;4243;3850;6052,378586;5981;3722;4048,815902;6182;4720;3933;4474,98;3617,105503;5397,083261;4134;4174,710384;8619,705138;5871;2963;6624,657104;4088,616188;5512,798605
1.04.2010;4640;5026;5730,007636;5693;6360;4947,129806;7559;5257;5366;4840;5355,092274;6586,992705;4274;5003,875723;8550,997477;6090;3584;7192;5078,254931;6437;4802;4856;5677,562445;5277,712226;4511;4829,226865;6920;4535;4846;4602,306;4125,44468;6631,571163;4039;4751,18396;7973,892134;5938;3538;6785,086808;4608,804491;6122,866479;4709;4270;6491;6901;4256;4505,514913;6937;5037;4407;4709,387615;4193,790181;6122,492916;4654;4843,569988;9982,014518;6678;3332;7537,567562;4565,157799;6175,705262;4369;3596;5797,920248;5416;3455;4229,684972;6115;4959;3845;4520,152;3919,328573;5575,33;4232;4303,28487;8932,818111;6102;3098;6673,712919;4144,416241;5414,692952
1.07.2010;4790;5036;5456,091178;6030;6420;4944,53397;7526;5002;5367;5100;5429,243738;6599,816961;4305;4983,137944;8294,768957;6231;3628;7084;5151,930697;6412;4732;4954;5272,049377;5460,652439;5071;4523,102075;6834;4821;4936;5025;4053,832676;6303,847288;4191;4840,468963;7940,206331;5614;3563;6683,953481;4754,851864;5984,719732;4752;4233;6286;6700;4323;4626,168162;6909;5063;4406;4759,085225;4295,471061;6012,1395;4615;4864,108748;9787,59292;6562;3388;7340,512015;4546,311461;6015,953434;4286;3866;5579;5470;3632;4114,16017;6296;4930;3874;4467,153;3735,337432;5495,816906;4359;4392,15597;8492,700155;5990;3009;6535,944052;4183,715118;5454,398788
1.10.2010;4778;4733;5577;6327;6085;4951,116727;7564;5003;5215;5135;5497,052124;6527,888331;4254;4959,416869;8133,259354;6342;3673;7067;4975,192674;6476;4755;4606;5216;5617;4914;4803,276778;6789;4819;4905;5010;3816,673847;6591,292701;4572;4794,236618;7440,556759;5735;3663;6564,410823;4738,182894;6076,087702;4809;4005;6494;6510;4108;4706,912779;6964;5139;4457;4726;4137,342116;6047,338798;4696;4760,216057;9766,837903;6602;3507;7350,577743;4478,442352;6039,543875;4169;3814;5432,734628;5317;3528;4222,507137;6284;4774;3924;4403,605;3742,314762;5245,640438;4224;4345,508929;8023,554003;6050;3150;6274,310547;4110,178948;5370,213387
1.01.2011;4830;4764;5732;6344;6122;4906,825631;7517;4993;5265;4858;4840;6376,381121;4077;4980;8211;6129;3660;7244;4997,056396;6708;4821;4730;5692;6004;5329;4790,077971;6886;4896;5066;4955;4759,13539;6263,621981;4264;4855;8037;5905;3651;6868,59225;4838,820455;6219,892797;4862;4055;6536;6522;4233,84;4678,334521;7206;5161;4469;4719;4222,23924;5940,193024;4726;4759;9706;6576;3579;7335,590573;4555,522467;6106,550357;4391;3945;5383;5481;3606,68;4285,150157;6394;5019;3738;4562,668;4010,15058;5520,200585;4333;4153;7915;5883;3166;6264,973903;4180,505146;5385,444721
1.04.2011;4823;4849;5630;6541;6141;4953,594515;7209;5053;5002;4938;4841;6328,437763;4142;5049;8396,152133;6281;3644;7255;5026,769214;6619;4782;4635;5661;6205;4417;4966,786435;7082;4827;5123;4963;4776;6535,631145;4202;4819;7526,773103;5949;3671;6789,420422;4640,351099;6380,040829;4810;4153;6573;6493;3974,14;4622,269871;7246;5199;4363;4698;4246,000545;5910,991904;4777;4733;9471,754326;6582;3522;7239,149626;4512,532895;6077,854657;4334;3733;5671;5483;3500,23;4426,798746;6478;4945;3843;4571,518;3958,777381;5320,944633;4485;4171;7920,247077;6004;3222;6318,827588;4158,548021;5445,025792
1.07.2011;4828;4841;5804;6344;5451;4866,774709;7061;5121;5101;4920;4839,483666;6286,103724;4283;5017;8025,110844;6388;3757;7073;4889,454214;6544;4843;4575;5479;6430;4697;4803,884376;6958;5133;4907;4896,343;4726,363727;6155,14173;4178;5048;7422,746065;6098;3679;6686,221369;4758,776485;6275,752676;4778;4058;6472;6430;3964,85;4436,106664;6949;5149;4238;4679;4455,654217;5804,138097;4729;4707;9396,573437;6541;3511;7105,449929;4458,115068;5941,281041;4044;3583;5548;5288;3417,7;4201,47596;6369;5206;3798;4577,159;4002,392724;5380,082386;4472;4161;7919,579052;5918;3070;6259,954506;4113,77803;5365,049954
1.10.2011;4825;4880;5910;6441,292638;5412,732734;4876,306415;7039;5031;5038;4772,637;4837,139128;6203,601386;4271;5000;7826,248644;6370;3764;6948;4895,989339;6460;4601;4626;5506;6313,129299;4603,599668;4768,498926;6711;4644;4793;4703;4675,772406;6218,923224;4239;4847;7225,681702;5720;3747;6486,501218;4589,976162;6072,067594;4754;3923;6241,911834;6462,59635;4152,491379;4535,635855;6989;5050;3990;4625;4174,976962;5736,534774;4791;4704;9363,30248;6397;3555;7119,275407;4489,106072;5888,095685;4349;3625;5316,24544;5369,616676;3355,634615;4238,803247;6224;4989;3939;4395,399;3863,545543;5254,220527;4522;3990;7888,94602;5728;3078;6237,22089;4097,438689;5313,167789
1.01.2012;4776;4846;6248;6879;4740,797565;4982,137276;7111,896885;5080;5176;4775,016;4834,995969;6183,136513;4457;4951,047056;7879,183433;6406;3756;6978;4805,547766;6527;4577;4520;5594;6106;4678,79281;4662,529862;6637,001747;4935;4610;4663;4644,739108;5931,560452;4138;4734,917534;6966,769914;5606;3750;6207,759781;4600,997489;5804,714281;4724;3885;6384;6370;4052,694805;4510,469226;6775,557221;5057;4006;4628;4171,11878;5604,162838;4801;4586,213396;9110,861571;6367;3570;7024,243221;4438,229399;5866,016672;4304;3503;5295;5219;3317,746377;4217,559537;6489,408465;4848;3647;4250,606;3744,720823;5395,793324;4325;3996,317904;7601,062879;5533;3064;6065,957596;4011,196648;5253,881841
1.04.2012;4731;4851;6357,566713;6119,040245;5351,42082;5070,749808;7082,54425;5134;4948;4787,653;4832,044687;6058,024276;4565;4973;8122,658551;6467;3734;6966;4902,559293;6348;4384;4686;5604,392771;6603,655005;4443,222454;4944,016351;6616,384553;4906;4668;4451,95;4557,261871;5880,134897;4135;4762;7042,943541;5808;3602;6298,579533;4573,985597;5884,22555;4674;3932;6309,517713;6475,044341;4121,547177;4545,122523;6724,241038;5076;4033;4632;3981,225396;5534,707418;4905;4431;9035,278113;6307;3621;6950,700028;4442,251322;5788,250524;4018;3429;5113,221297;5131,005073;3399;3941,154998;6010,84136;4805;3587;4268,471;3828,630994;5159,026533;4422;3944;7522,351068;5357;3186;5873,204154;3962,704006;4971,546503
