yearmon;warszawa_srednie_miesieczne_wynagrodzenie_PLN
1.01.2022;7520,61
1.02.2022;7632,8
1.03.2022;8494,89
1.04.2022;8219,68
1.05.2022;7822,93
1.06.2022;7793,16
1.07.2022;8104,99
1.08.2022;8027,64
1.09.2022;7967,63
1.10.2022;8312,85
1.11.2022;8128,08
1.12.2022;8813,57
1.01.2023;8395,76
1.02.2023;8622,84
1.03.2023;9490
1.04.2023;9169,89
1.05.2023;8717,42
1.06.2023;8832,58
1.07.2023;8931,32
1.08.2023;8862,99
1.09.2023;8838,48
1.10.2023;9242,72
1.11.2023;9057,69
1.12.2023;9519,17